GEOID,ACS_MFRENTALS,ACS_Owners,ACS_SF_Rents,LUPAMS,HCIDLA,LUPAMS_RC,HCIDLA_RC
6037128102,929,323,175,1087,1100,0,NA
6037128210,1276,51,182,1399,1406,0,NA
6037128220,656,345,100,706,704,0,NA
6037128302,1038,286,95,1086,1087,0,NA
6037128303,922,70,78,927,927,0,NA
6037128400,666,841,164,752,756,0,NA
6037128500,922,803,287,998,1046,0,NA
6037128601,1146,378,107,1266,1269,0,NA
6037128602,422,718,185,553,549,0,NA
6037128702,1505,1071,170,1552,1556,0,NA
6037128801,1209,512,80,1289,1288,0,NA
6037128802,1202,832,141,1107,1234,0,NA
6037128910,720,879,181,850,865,0,NA
6037131010,1382,461,111,1196,1200,0,NA
6037131020,375,843,360,462,467,0,NA
6037131100,46,809,187,8,8,0,NA
6037131200,52,773,295,14,14,0,NA
6037131300,0,930,268,0,0,0,NA
6037131400,662,978,250,568,573,0,NA
6037131600,13,1105,338,59,59,0,NA
6037131701,761,695,223,682,686,0,NA
6037131702,279,718,125,207,207,0,NA
6037131800,675,715,238,708,709,0,NA
6037131900,12,1023,354,36,48,0,NA
6037132001,239,752,161,184,185,0,NA
6037132002,108,766,241,169,170,0,NA
6037132101,697,744,54,789,789,0,NA
6037132102,753,1049,148,578,578,0,NA
6037132300,1340,843,237,1325,1329,0,NA
6037132501,384,538,178,361,362,0,NA
6037132502,486,639,94,352,352,0,NA
6037132700,518,685,304,540,536,0,NA
6037132900,266,825,175,332,332,0,NA
6037133000,87,902,265,0,0,0,NA
6037133100,842,811,349,904,796,0,NA
6037134001,457,321,173,436,438,0,NA
6037134002,431,473,159,409,409,0,NA
6037134101,416,862,209,321,321,0,NA
6037134103,443,761,78,224,226,0,NA
6037134104,521,684,141,512,511,0,NA
6037134201,173,872,173,203,195,0,NA
6037134302,0,1051,181,0,0,0,NA
6037134303,263,1301,229,8,8,0,NA
6037134304,215,494,198,95,95,0,NA
6037134305,1103,6,10,1053,1053,0,NA
6037134306,596,518,74,624,625,0,NA
6037134421,0,1204,122,0,0,0,NA
6037134422,8,1263,323,0,0,0,NA
6037134423,133,1038,122,0,0,0,NA
6037134520,1359,340,128,1249,1245,0,NA
6037134521,504,142,72,554,559,0,NA
6037134522,897,224,168,735,740,0,NA
6037134710,1154,335,162,981,983,0,NA
6037134720,648,682,226,440,440,0,NA
6037134800,145,1439,289,112,112,0,NA
6037134901,211,768,157,288,288,0,NA
6037134903,2374,9,10,2862,2859,0,NA
6037134904,612,681,142,597,594,0,NA
6037134905,1517,221,6,1447,1448,0,NA
6037135102,34,899,337,38,38,0,NA
6037135111,248,609,227,278,278,0,NA
6037135113,1014,144,208,1234,1240,0,NA
6037135114,2022,335,95,1845,1849,0,NA
6037135201,119,719,63,44,44,0,NA
6037135202,7,1278,214,3,2,0,NA
6037135203,14,2214,301,1,2,0,NA
6037137000,58,1539,132,35,35,0,NA
6037137103,1095,1217,131,374,374,0,NA
6037137104,0,831,225,0,0,0,NA
6037137201,945,1041,281,566,567,0,NA
6037137301,0,614,124,2,2,0,NA
6037137302,0,1387,223,0,0,0,NA
6037137401,77,1229,300,194,195,0,NA
6037137402,390,1369,295,253,253,0,NA
6037137501,827,732,39,922,921,0,NA
6037137502,240,1190,339,189,191,0,NA
6037137504,0,648,32,0,0,0,NA
6037138000,27,1465,305,38,39,0,NA
6037139001,812,1013,234,730,730,0,NA
6037139200,926,1111,170,842,852,0,NA
6037139301,59,1355,164,23,27,0,NA
6037139302,1475,402,27,918,914,0,NA
6037139303,1389,460,45,938,931,0,NA
6037139401,816,251,139,877,874,0,NA
6037139402,50,761,85,8,8,0,NA
6037139502,205,700,316,185,185,0,NA
6037139503,1637,935,82,1244,1246,0,NA
6037139504,1137,561,52,994,993,0,NA
6037139600,749,1230,112,422,422,0,NA
6037139701,312,1421,190,327,327,0,NA
6037139702,0,2110,105,0,0,0,NA
6037139703,0,873,160,0,0,0,NA
6037139801,0,1146,154,0,0,0,NA
6037139802,0,1234,99,0,0,0,NA
6037141101,1554,718,103,1601,1600,0,NA
6037141102,608,625,113,703,705,0,NA
6037141201,1613,250,107,1460,1460,0,NA
6037141202,851,444,64,660,658,0,NA
6037141302,1906,873,150,1847,1844,0,NA
6037141303,1295,406,9,1069,1072,0,NA
6037141304,764,635,63,839,826,0,NA
6037141400,788,1093,154,580,582,0,NA
6037141500,0,993,66,0,0,0,NA
6037141600,0,1510,116,0,0,0,NA
6037141700,0,1121,67,2,2,0,NA
6037143100,1099,955,142,1155,1155,0,NA
6037143200,1344,515,85,1353,1383,0,NA
6037143300,1608,1196,221,1873,1871,0,NA
6037143400,1580,1163,232,1369,1365,0,NA
6037143500,970,995,248,1089,1093,0,NA
6037143602,1255,895,76,928,928,0,NA
6037143603,802,406,63,904,905,0,NA
6037143604,1997,62,13,2041,2041,0,NA
6037143700,339,1223,252,381,384,0,NA
6037143800,776,1515,110,771,767,0,NA
6037143901,55,1369,178,12,11,0,NA
6037143902,469,808,55,406,408,0,NA
6037181000,195,1748,269,349,346,0,NA
6037181300,138,935,290,323,323,0,NA
6037181400,808,448,367,972,965,0,NA
6037181500,70,994,229,302,299,0,NA
6037181600,261,564,207,418,436,0,NA
6037183101,226,717,323,410,409,0,NA
6037183103,828,325,237,1116,1122,0,NA
6037183104,215,518,46,136,136,0,NA
6037183220,341,461,371,583,588,0,NA
6037183221,342,495,159,369,373,0,NA
6037183222,361,756,165,363,364,0,NA
6037183300,228,535,248,422,421,0,NA
6037183401,151,412,202,362,367,0,NA
6037183402,399,324,189,606,595,0,NA
6037183510,39,476,249,178,178,0,NA
6037183520,522,357,228,709,698,0,NA
6037183610,468,237,256,695,710,0,NA
6037183620,343,320,271,579,571,0,NA
6037183701,688,345,264,844,836,0,NA
6037183702,395,519,169,467,469,0,NA
6037183810,829,174,277,1059,1071,0,NA
6037183820,681,218,138,699,697,0,NA
6037185100,612,1126,411,692,689,0,NA
6037185202,397,686,287,567,570,0,NA
6037185203,161,388,381,409,409,0,NA
6037185204,48,510,119,112,114,0,NA
6037185310,219,286,272,454,445,0,NA
6037185320,293,288,281,399,423,0,NA
6037186100,423,989,370,512,504,0,NA
6037186201,728,254,172,700,697,0,NA
6037186202,264,323,112,299,299,0,NA
6037186203,19,826,193,141,141,0,NA
6037186301,499,294,121,647,650,0,NA
6037186302,285,1126,286,584,585,0,NA
6037186401,726,93,172,824,820,0,NA
6037186403,198,362,296,394,397,0,NA
6037186404,299,215,239,463,460,0,NA
6037187101,311,517,299,606,608,0,NA
6037187102,418,391,345,654,656,0,NA
6037187200,263,343,282,390,390,0,NA
6037187300,575,612,230,869,861,0,NA
6037188100,921,471,287,1234,1268,0,NA
6037188201,1493,335,62,1614,1612,0,NA
6037188202,354,642,110,543,545,0,NA
6037188300,236,722,434,557,558,0,NA
6037189101,1043,166,196,1202,1205,0,NA
6037189102,1339,511,70,1516,1518,0,NA
6037189201,1731,96,100,1904,1924,0,NA
6037189202,541,607,35,609,615,0,NA
6037189300,115,1146,66,90,89,0,NA
6037189400,588,961,273,756,780,0,NA
6037189500,2212,317,155,2422,2425,0,NA
6037189600,987,894,177,1229,1223,0,NA
6037189701,753,1008,133,1384,1384,0,NA
6037189702,534,546,166,754,763,0,NA
6037189800,1668,595,84,1732,1740,0,NA
6037189902,2911,195,91,2811,2813,0,NA
6037189903,1085,322,19,1037,1039,0,NA
6037189904,1489,8,21,1472,1472,0,NA
6037189905,1194,225,28,1177,1184,0,NA
6037190100,2477,155,94,2914,2913,0,NA
6037190201,1332,8,23,1535,1524,0,NA
6037190202,2083,36,0,2561,2571,0,NA
6037190301,2405,29,100,2413,2424,0,NA
6037190401,1731,14,71,1734,1730,0,NA
6037190402,1245,15,11,1308,1311,0,NA
6037190510,1697,15,41,1446,1447,0,NA
6037190520,1414,173,52,1502,1481,0,NA
6037190700,1601,105,91,1759,1784,0,NA
6037190801,1210,110,49,1356,1419,0,NA
6037190802,1173,141,100,941,953,0,NA
6037190901,1272,79,104,1340,1358,0,NA
6037190902,1389,108,132,1494,1497,0,NA
6037191000,1546,348,65,1278,1281,0,NA
6037191110,911,18,191,1162,1191,0,NA
6037191120,1243,149,262,1438,1443,0,NA
6037191201,1468,110,158,1653,1658,0,NA
6037191203,1025,61,106,1117,1142,0,NA
6037191204,531,93,193,782,779,0,NA
6037191301,714,89,148,787,788,0,NA
6037191302,746,92,128,843,844,0,NA
6037191410,1348,22,221,1511,1516,0,NA
6037191420,829,83,257,1056,1053,0,NA
6037191500,1391,199,114,1481,1505,0,NA
6037191610,990,201,291,1301,1308,0,NA
6037191620,1009,37,101,849,847,0,NA
6037191710,1064,61,100,1076,1077,0,NA
6037191720,1070,78,171,1261,1262,0,NA
6037191810,1071,92,73,1286,1288,0,NA
6037191820,1009,149,62,1139,1246,0,NA
6037191901,1560,89,81,1706,1708,0,NA
6037191902,681,547,182,905,911,0,NA
6037192001,914,193,108,966,985,0,NA
6037192002,608,528,150,732,725,0,NA
6037192300,991,510,38,992,990,0,NA
6037192410,941,570,192,1126,1132,0,NA
